Transaction ID,Date,User ID,Book Title,Genre,Borrowing Duration
T00466,2022-06-23,U0133,Python Mastery,History,19
T00467,2023-02-06,U0020,The Silent Forest,Technology,15
T00468,2024-07-01,U0144,The Lost City,Fantasy,11
T00469,2024-07-16,U0092,The Silent Forest,Fantasy,19
T00470,2023-10-28,U0168,History Unveiled,Technology,2
T00471,2022-07-11,U0163,Data Science 101,Fantasy,26
T00472,2023-07-21,U0173,Future Tech,Mystery,18
T00473,2024-11-14,U0146,Mystery of Time,Fiction,17
T00474,2023-01-09,U0007,Data Science 101,Fiction,5
T00475,2022-04-14,U0074,History Unveiled,Mystery,16
T00476,2022-09-16,U0045,The Silent Forest,Sci-Fi,5
T00477,2022-12-03,U0068,The Silent Forest,Mystery,16
T00478,2022-02-11,U0134,AI Revolution,Non-Fiction,7
T00479,2024-10-27,U0118,Python Mastery,Non-Fiction,28
T00480,2022-04-13,U0089,AI Revolution,History,9
T00481,2022-07-26,U0115,Deep Learning Guide,Non-Fiction,17
T00482,2022-07-19,U0040,History Unveiled,Technology,12
T00483,2023-10-31,U0160,AI Revolution,Technology,2
T00484,2024-07-25,U0134,Python Mastery,Fiction,5
T00485,2024-05-16,U0058,Mystery of Time,Technology,27
T00486,2024-05-16,U0106,Future Tech,Fantasy,6
T00487,2023-10-18,U0059,The Silent Forest,Mystery,5
T00488,2023-09-28,U0100,Deep Learning Guide,Fiction,4
T00489,2022-10-19,U0040,Data Science 101,Fantasy,18
T00490,2024-05-13,U0037,Deep Learning Guide,Technology,5
T00491,2024-08-12,U0063,Python Mastery,Fiction,26
T00492,2022-10-18,U0059,History Unveiled,History,14
T00493,2023-04-04,U0118,AI Revolution,Fantasy,26
T00494,2024-05-16,U0010,Python Mastery,Fiction,10
T00495,2022-07-20,U0019,Future Tech,Fantasy,28
T00496,2024-07-10,U0080,Future Tech,History,29
T00497,2022-12-27,U0145,Future Tech,Non-Fiction,20
T00498,2022-03-31,U0065,Mystery of Time,Fantasy,28
T00499,2023-03-15,U0055,Mystery of Time,Technology,23
T00500,2023-10-21,U0162,The Silent Forest,History,4
